position,player name,win score
C,DeAndre Jordan,17.873556846853734
SG,Klay Thompson,13.007136842148462
PG,Stephen Curry,20.667988627635122
SF,Kevin Durant,18.41409978040944
PF,Kevin Love,15.5579133788962
